iter	Passed	Remaining
0	21	21111
1	27	13516
2	33	11290
3	38	9681
4	42	8554
5	47	7883
6	50	7203
7	54	6817
8	59	6509
9	63	6301
10	67	6103
11	72	5957
12	76	5838
13	81	5730
14	85	5630
15	90	5543
16	94	5460
17	98	5388
18	102	5317
19	107	5263
20	111	5207
21	116	5161
22	120	5114
23	124	5073
24	129	5033
25	133	4996
26	137	4956
27	142	4932
28	146	4901
29	150	4872
30	155	4852
31	159	4830
32	164	4810
33	168	4791
34	172	4767
35	177	4751
36	181	4733
37	186	4715
38	190	4695
39	194	4678
40	199	4661
41	203	4644
42	208	4631
43	212	4615
44	216	4600
45	221	4587
46	225	4574
47	229	4561
48	234	4547
49	238	4535
50	243	4524
51	247	4513
52	252	4502
53	256	4491
54	260	4480
55	265	4471
56	269	4462
57	274	4456
58	278	4445
59	283	4436
60	287	4425
61	291	4416
62	296	4408
63	300	4401
64	305	4391
65	309	4383
66	314	4373
67	318	4364
68	322	4356
69	327	4349
70	331	4338
71	336	4331
72	340	4321
73	344	4313
74	349	4304
75	353	4295
76	357	4286
77	362	4279
78	366	4269
79	370	4262
80	375	4255
81	379	4248
82	383	4238
83	388	4234
84	392	4226
85	397	4220
86	401	4213
87	406	4209
88	410	4203
89	415	4197
90	419	4190
91	423	4183
92	428	4175
93	432	4169
94	436	4162
95	441	4156
96	445	4150
97	450	4143
98	454	4136
99	458	4130
100	463	4123
101	467	4117
102	472	4111
103	476	4103
104	480	4098
105	485	4094
106	489	4089
107	494	4084
108	498	4077
109	503	4073
110	507	4066
111	512	4060
112	516	4055
113	521	4050
114	525	4045
115	530	4041
116	534	4035
117	539	4030
118	543	4024
119	548	4019
120	552	4014
121	557	4010
122	561	4005
123	566	3999
124	570	3993
125	575	3988
126	579	3982
127	583	3976
128	588	3970
129	592	3965
130	597	3961
131	601	3955
132	605	3949
133	610	3944
134	614	3938
135	619	3933
136	623	3927
137	627	3922
138	632	3917
139	636	3911
140	641	3906
141	645	3901
142	650	3895
143	654	3892
144	659	3887
145	663	3882
146	668	3877
147	672	3873
148	677	3867
149	681	3862
150	685	3856
151	690	3852
152	694	3847
153	699	3842
154	703	3836
155	708	3831
156	712	3826
157	717	3821
158	721	3816
159	725	3811
160	730	3806
161	734	3801
162	739	3795
163	743	3790
164	748	3785
165	752	3780
166	756	3775
167	761	3770
168	765	3764
169	770	3760
170	774	3754
171	778	3749
172	783	3744
173	787	3739
174	792	3734
175	796	3730
176	801	3726
177	805	3721
178	810	3716
179	814	3711
180	819	3706
181	823	3702
182	828	3696
183	832	3692
184	836	3686
185	841	3681
186	845	3677
187	850	3672
188	854	3667
189	859	3663
190	863	3658
191	868	3653
192	872	3648
193	877	3644
194	881	3639
195	886	3634
196	890	3629
197	894	3625
198	899	3620
199	903	3615
200	908	3610
201	912	3606
202	917	3603
203	923	3602
204	940	3649
205	945	3644
206	950	3639
207	954	3635
208	959	3631
209	963	3626
210	968	3620
211	972	3615
212	977	3611
213	988	3631
214	1005	3671
215	1021	3707
216	1027	3705
217	1032	3703
218	1037	3698
219	1041	3692
220	1045	3686
221	1050	3681
222	1054	3675
223	1059	3669
224	1063	3664
225	1068	3658
226	1072	3652
227	1077	3646
228	1081	3640
229	1085	3635
230	1090	3630
231	1094	3624
232	1099	3618
233	1103	3612
234	1108	3607
235	1112	3601
236	1116	3596
237	1121	3590
238	1126	3585
239	1130	3580
240	1134	3574
241	1139	3569
242	1143	3563
243	1148	3558
244	1153	3553
245	1157	3547
246	1161	3542
247	1166	3536
248	1170	3531
249	1191	3573
250	1195	3567
251	1200	3562
252	1204	3556
253	1209	3551
254	1213	3544
255	1217	3539
256	1222	3534
257	1238	3563
258	1243	3558
259	1248	3552
260	1252	3546
261	1257	3541
262	1262	3536
263	1266	3530
264	1270	3524
265	1276	3521
266	1280	3515
267	1285	3510
268	1290	3505
269	1299	3513
270	1303	3507
271	1308	3503
272	1313	3497
273	1318	3492
274	1322	3486
275	1327	3482
276	1331	3476
277	1336	3470
278	1341	3466
279	1345	3461
280	1350	3454
281	1354	3449
282	1359	3445
283	1364	3439
284	1368	3433
285	1373	3428
286	1377	3423
287	1382	3417
288	1387	3412
289	1391	3407
290	1425	3474
291	1430	3468
292	1434	3462
293	1439	3457
294	1444	3451
295	1448	3446
296	1453	3439
297	1458	3434
298	1462	3429
299	1467	3423
300	1471	3417
301	1476	3411
302	1480	3406
303	1485	3400
304	1489	3394
305	1494	3388
306	1499	3383
307	1503	3378
308	1508	3372
309	1512	3366
310	1517	3362
311	1522	3356
312	1526	3351
313	1531	3345
314	1568	3409
315	1572	3404
316	1577	3397
317	1581	3392
318	1586	3387
319	1591	3381
320	1595	3375
321	1600	3370
322	1605	3364
323	1609	3358
324	1614	3352
325	1619	3347
326	1623	3341
327	1628	3335
328	1632	3329
329	1637	3325
330	1642	3318
331	1646	3313
332	1651	3307
333	1655	3301
334	1659	3294
335	1664	3289
336	1668	3283
337	1673	3277
338	1677	3271
339	1682	3265
340	1686	3259
341	1691	3253
342	1695	3247
343	1699	3241
344	1704	3235
345	1708	3229
346	1713	3223
347	1717	3217
348	1721	3211
349	1726	3205
350	1730	3199
351	1734	3193
352	1739	3188
353	1743	3182
354	1748	3176
355	1752	3170
356	1757	3165
357	1761	3159
358	1766	3153
359	1770	3147
360	1775	3141
361	1779	3136
362	1783	3130
363	1788	3124
364	1792	3118
365	1797	3113
366	1801	3107
367	1806	3102
368	1810	3095
369	1814	3090
370	1819	3084
371	1823	3079
372	1828	3073
373	1832	3067
374	1837	3062
375	1841	3056
376	1846	3050
377	1850	3045
378	1855	3039
379	1859	3033
380	1863	3028
381	1868	3022
382	1872	3017
383	1877	3011
384	1882	3006
385	1886	3001
386	1891	2995
387	1895	2990
388	1900	2985
389	1905	2980
390	1909	2974
391	1914	2969
392	1918	2963
393	1923	2957
394	1927	2952
395	1932	2947
396	1936	2941
397	1941	2936
398	1945	2930
399	1950	2925
400	1954	2920
401	1959	2914
402	1963	2908
403	1967	2903
404	1972	2897
405	1976	2892
406	1981	2886
407	1985	2880
408	1989	2875
409	1994	2869
410	1998	2864
411	2002	2858
412	2007	2852
413	2011	2847
414	2016	2841
415	2020	2836
416	2025	2831
417	2029	2826
418	2034	2820
419	2038	2815
420	2043	2809
421	2047	2804
422	2052	2799
423	2056	2793
424	2060	2788
425	2065	2782
426	2069	2777
427	2074	2772
428	2079	2767
429	2083	2762
430	2087	2756
431	2092	2751
432	2096	2745
433	2101	2740
434	2105	2734
435	2118	2740
436	2123	2735
437	2127	2729
438	2132	2724
439	2137	2720
440	2141	2714
441	2146	2709
442	2150	2703
443	2154	2698
444	2159	2693
445	2163	2687
446	2168	2682
447	2172	2676
448	2176	2671
449	2181	2665
450	2185	2660
451	2190	2655
452	2194	2650
453	2199	2644
454	2203	2639
455	2208	2634
456	2212	2629
457	2217	2623
458	2221	2618
459	2226	2613
460	2230	2607
461	2234	2602
462	2239	2597
463	2243	2591
464	2248	2586
465	2252	2581
466	2257	2576
467	2261	2570
468	2265	2565
469	2270	2560
470	2274	2555
471	2279	2549
472	2283	2544
473	2288	2539
474	2292	2534
475	2297	2529
476	2301	2523
477	2306	2518
478	2310	2513
479	2315	2508
480	2319	2503
481	2324	2497
482	2328	2492
483	2333	2487
484	2337	2482
485	2342	2477
486	2346	2471
487	2350	2466
488	2355	2461
489	2359	2456
490	2364	2450
491	2368	2445
